YearMade;WallType;RoofType;NumOfBedrooms;StovenFuelType;HeatingEquipmentType;HeatingEquipmentAge;NumOfRoomsHeated;FuelUsedForWaterHeating;WaterHeaterSize;AirConditioning;NumOfRoomsCooled;NumOfWindows;TotalSquareHeated;TotalSquareCooled;ElectricityConsumption
2001;Brick;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;5;Electricity;Medium;ИСТИНА;5;30;1155;1155;10626
1920;Siding;Asphalt;2;Electricity;Central Warm-Air Furnace;15-19 Years old;6;Electricity;Medium;ЛОЖЬ;-1;42;1440;0;14242
1963;Brick;Composition Shingles;3;Electricity;Built-In Electric Units;5-9 Years old;5;Electricity;Medium;ИСТИНА;-1;30;1127;901;24977
1974;Wood;Composition Shingles;4;Electricity;Central Warm-Air Furnace;10-14 Years old;7;Natural Gas;Large;ИСТИНА;7;0;1830;1830;19179
1976;Wood;Concrete Tiles;3;-;Central Warm-Air Furnace;>20 Years old;3;Electricity;Medium;ИСТИНА;5;41;1090;1817;9433
1982;Wood;Composition Shingles;2;Electricity;Central Warm-Air Furnace;15-19 Years old;5;Natural Gas;Small;ИСТИНА;5;30;586;586;5960
1928;Siding;Composition Shingles;3;Natural Gas;Steam or Hot Water System;10-14 Years old;6;Fuel Oil;None;ЛОЖЬ;-1;42;1655;0;5354
1920;Wood;Composition Shingles;2;Natural Gas;Central Warm-Air Furnace;10-14 Years old;6;Natural Gas;Medium;ЛОЖЬ;-1;41;1685;0;4974
1987;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;>20 Years old;6;Natural Gas;Medium;ИСТИНА;6;41;1955;1955;4210
1920;Wood;Wood Shingles;2;-;Built-In Room Heater;>20 Years old;6;Electricity;Medium;ЛОЖЬ;-1;30;1231;0;9581
2001;Concrete;Asphalt;3;Electricity;;5-9 Years old;-2;Electricity;Large;ИСТИНА;5;30;0;1256;12483
1965;Stucco;Composition Shingles;3;Natural Gas;Built-In Room Heater;>20 Years old;6;Natural Gas;Large;ЛОЖЬ;-1;41;2608;0;4247
2000;Siding;Metal;2;-;Portable Electric Heaters;<2 Years old;3;Electricity;Small;ИСТИНА;-1;41;845;563;8504
1952;Stucco;Asphalt;2;Natural Gas;Central Warm-Air Furnace;15-19 Years old;6;Natural Gas;Small;ИСТИНА;-1;30;868;289;5856
1960;Wood;Composition Shingles;3;-;Central Warm-Air Furnace;<2 Years old;6;Electricity;Medium;ИСТИНА;6;30;2720;2720;7337
2000;Siding;Asphalt;4;Natural Gas;Central Warm-Air Furnace;10-14 Years old;7;Electricity;Large;ИСТИНА;7;50;2012;2012;12302
1950;Brick;Wood Shingles;3;Natural Gas;Central Warm-Air Furnace;10-14 Years old;5;Natural Gas;Large;ИСТИНА;5;30;1956;1956;8272
1971;Siding;Asphalt;2;Electricity;Central Warm-Air Furnace;2-4 Years old;6;Electricity;Medium;ИСТИНА;6;41;1728;1728;15425
1955;Siding;Composition Shingles;2;-;Steam or Hot Water System;15-19 Years old;4;Natural Gas;Medium;ИСТИНА;-1;30;1204;1204;5884
1985;Stucco;Ceramic or Clay Tiles;6;-;Central Warm-Air Furnace;5-9 Years old;9;Natural Gas;Large;ИСТИНА;9;41;2624;2624;6121
1995;Brick;Composition Shingles;5;Electricity;Central Warm-Air Furnace;10-14 Years old;12;Natural Gas;Large;ИСТИНА;12;50;2821;2821;24880
1976;Wood;Composition Shingles;4;Electricity;Central Warm-Air Furnace;>20 Years old;8;Electricity;Large;ИСТИНА;8;50;4577;4577;41537
1950;Wood;Composition Shingles;2;Propane/LPG;Steam or Hot Water System;10-14 Years old;4;Fuel Oil;Small;ИСТИНА;-1;41;925;463;5273
1990;Wood;;3;Electricity;Central Warm-Air Furnace;15-19 Years old;5;Electricity;Large;ИСТИНА;5;20;1325;1325;10998
2003;Concrete;;3;Electricity;Central Warm-Air Furnace;5-9 Years old;4;Electricity;Medium;ИСТИНА;4;42;1456;1456;9848
1973;Brick;Composition Shingles;4;Electricity;Central Warm-Air Furnace;<2 Years old;8;Electricity;Large;ИСТИНА;8;30;2958;2958;27391
1995;Siding;Asphalt;3;Natural Gas;Central Warm-Air Furnace;5-9 Years old;5;Natural Gas;Medium;ИСТИНА;5;41;1820;1820;8267
1970;Siding;;1;Electricity;Built-In Electric Units;>20 Years old;3;Electricity;Medium;ИСТИНА;-1;20;691;230;7788
1976;Brick;Asphalt;3;Electricity;Central Warm-Air Furnace;10-14 Years old;1;Electricity;Medium;ИСТИНА;8;41;828;3825;29817
1978;Stucco;Wood Shingles;3;Electricity;Heat Pump;2-4 Years old;6;Electricity;Medium;ИСТИНА;6;30;1875;1875;4756
1960;Brick;;1;Electricity;Portable Electric Heaters;<2 Years old;3;Electricity;Small;ИСТИНА;3;30;769;769;9250
1986;Siding;Composition Shingles;3;Electricity;Heat Pump;10-14 Years old;5;Electricity;Large;ИСТИНА;5;60;1430;1430;16083
2007;Wood;Composition Shingles;4;Natural Gas;Central Warm-Air Furnace;2-4 Years old;9;Natural Gas;Medium;ИСТИНА;9;50;3626;3626;8147
1950;Brick;Composition Shingles;3;Electricity;Central Warm-Air Furnace;15-19 Years old;7;Natural Gas;Large;ИСТИНА;7;41;1344;1344;9623
2007;Siding;Composition Shingles;5;Natural Gas;Central Warm-Air Furnace;2-4 Years old;9;Natural Gas;Large;ИСТИНА;9;41;3852;3852;6981
1970;Wood;Composition Shingles;2;Electricity;Built-In Electric Units;>20 Years old;2;Electricity;Medium;ЛОЖЬ;-1;30;417;0;19164
2007;Stucco;Ceramic or Clay Tiles;3;Natural Gas;Heat Pump;2-4 Years old;6;Natural Gas;Large;ИСТИНА;4;41;1706;1137;4485
1996;Brick;;1;Electricity;Central Warm-Air Furnace;10-14 Years old;3;Electricity;Large;ИСТИНА;3;10;574;574;8652
1948;Siding;Composition Shingles;4;Electricity;Steam or Hot Water System;>20 Years old;7;Fuel Oil;Small;ИСТИНА;-1;50;1740;246;4298
1975;Stucco;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;>20 Years old;6;Natural Gas;Large;ИСТИНА;-1;60;1433;239;6961
2002;Wood;Concrete Tiles;3;Natural Gas;Central Warm-Air Furnace;5-9 Years old;5;Natural Gas;Medium;ИСТИНА;5;30;1394;1394;6875
1940;Concrete;;-2;Electricity;Heat Pump;<2 Years old;1;Electricity;Small;ИСТИНА;1;30;608;608;4014
1969;Concrete;;1;Electricity;Other Equipment;>20 Years old;3;Other Fuel;Medium;ИСТИНА;3;10;1134;1134;6826
1955;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;<2 Years old;7;Natural Gas;Medium;ИСТИНА;7;41;1512;1512;10490
1968;Concrete;;1;Electricity;;Not Applicable;-2;Electricity;Medium;ИСТИНА;-1;30;0;453;7903
1942;Brick;Ceramic or Clay Tiles;3;Natural Gas;Central Warm-Air Furnace;5-9 Years old;7;Natural Gas;Medium;ИСТИНА;6;60;1275;1182;8034
1986;Stucco;Composition Shingles;4;Natural Gas;Central Warm-Air Furnace;>20 Years old;7;Natural Gas;Large;ИСТИНА;7;41;2204;2204;16327
1977;Siding;Composition Shingles;4;Electricity;Central Warm-Air Furnace;>20 Years old;7;Natural Gas;Large;ИСТИНА;7;30;417;417;3884
1990;Wood;Composition Shingles;3;Electricity;Central Warm-Air Furnace;2-4 Years old;4;Electricity;Medium;ИСТИНА;4;20;1538;1538;23070
1955;Brick;Composition Shingles;2;Electricity;Central Warm-Air Furnace;5-9 Years old;5;Natural Gas;Small;ИСТИНА;5;41;1430;1144;2724
1955;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;15-19 Years old;7;Electricity;Medium;ИСТИНА;7;50;1359;1359;9897
1985;Siding;Wood Shingles;3;Natural Gas;Steam or Hot Water System;10-14 Years old;5;Natural Gas;Medium;ИСТИНА;-1;41;1200;480;6444
2004;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;5;Electricity;Medium;ИСТИНА;5;30;860;860;8507
1943;Wood;Composition Shingles;2;Natural Gas;Central Warm-Air Furnace;>20 Years old;4;Natural Gas;Medium;ИСТИНА;3;41;740;555;10894
1957;Stucco;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;15-19 Years old;9;Natural Gas;Medium;ЛОЖЬ;-1;41;3818;0;6285
1950;Wood;Composition Shingles;2;Electricity;Central Warm-Air Furnace;5-9 Years old;4;Electricity;Large;ЛОЖЬ;-1;30;780;0;21242
1972;Brick;;1;Natural Gas;Central Warm-Air Furnace;15-19 Years old;3;Natural Gas;Small;ИСТИНА;-1;20;586;586;5861
1958;Stucco;Asphalt;3;Natural Gas;Central Warm-Air Furnace;>20 Years old;6;Natural Gas;Small;ИСТИНА;-1;30;1281;214;6571
1993;Siding;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;15-19 Years old;6;Electricity;Small;ИСТИНА;6;60;1080;1080;25851
1920;Siding;Asphalt;4;Electricity;Steam or Hot Water System;>20 Years old;8;Fuel Oil;None;ЛОЖЬ;-1;60;2304;0;8593
1976;Siding;Metal;2;Electricity;Central Warm-Air Furnace;10-14 Years old;4;Electricity;Small;ИСТИНА;4;30;1008;1008;16984
2005;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;2-4 Years old;7;Electricity;Medium;ИСТИНА;7;30;1800;1800;9232
1974;Brick;Asphalt;4;Electricity;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;Small;ИСТИНА;6;41;1607;1607;11494
1969;Siding;Composition Shingles;2;Propane/LPG;Heating Stove;>20 Years old;4;Fuel Oil;Medium;ИСТИНА;-1;30;1258;315;5323
1968;Brick;Composition Shingles;3;Electricity;Central Warm-Air Furnace;15-19 Years old;7;Electricity;Medium;ИСТИНА;-1;41;3010;1720;29408
1961;Stucco;Asphalt;4;-;Central Warm-Air Furnace;2-4 Years old;9;Electricity;Large;ИСТИНА;6;50;3830;2553;34447
1972;Wood;Composition Shingles;4;Natural Gas;Central Warm-Air Furnace;2-4 Years old;7;Natural Gas;Medium;ИСТИНА;7;50;1916;1916;7738
1978;Brick;Composition Shingles;2;Natural Gas;Steam or Hot Water System;>20 Years old;5;Natural Gas;Large;ЛОЖЬ;-1;41;960;0;7039
1970;Brick;;1;Electricity;Steam or Hot Water System;>20 Years old;5;Natural Gas;Large;ИСТИНА;-1;10;495;99;2574
1920;Siding;Asphalt;2;Natural Gas;Steam or Hot Water System;10-14 Years old;5;Natural Gas;Small;ИСТИНА;-1;41;1196;478;5575
2003;Stucco;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;6;Electricity;Large;ИСТИНА;6;41;1680;1680;14133
2006;Brick;Asphalt;4;Natural Gas;Central Warm-Air Furnace;2-4 Years old;6;Natural Gas;Large;ИСТИНА;6;41;3322;3322;5488
1920;Siding;Composition Shingles;3;-;Steam or Hot Water System;15-19 Years old;7;Electricity;Medium;ИСТИНА;-1;50;2148;1227;25019
1941;Stucco;Ceramic or Clay Tiles;4;Electricity;;Not Applicable;-2;Electricity;None;ИСТИНА;8;30;0;1425;21824
1985;Brick;Asphalt;2;Natural Gas;Central Warm-Air Furnace;10-14 Years old;4;Natural Gas;Small;ИСТИНА;3;10;914;685;3776
1980;Stucco;Ceramic or Clay Tiles;2;Natural Gas;Central Warm-Air Furnace;>20 Years old;5;Electricity;Medium;ИСТИНА;5;20;1498;1498;7883
2003;Stucco;Concrete Tiles;3;Natural Gas;Central Warm-Air Furnace;5-9 Years old;8;Natural Gas;Large;ИСТИНА;3;60;5936;2226;7314
1978;Brick;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;10-14 Years old;6;Natural Gas;Medium;ИСТИНА;6;30;1888;1888;8450
2003;Siding;Asphalt;3;Electricity;Central Warm-Air Furnace;5-9 Years old;5;Electricity;Medium;ИСТИНА;5;41;2590;2590;20078
1965;Brick;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;10-14 Years old;6;Natural Gas;Large;ИСТИНА;6;41;1570;1570;27644
1991;Stucco;Concrete Tiles;2;Natural Gas;Central Warm-Air Furnace;5-9 Years old;4;Natural Gas;Medium;ЛОЖЬ;-1;30;1965;0;2185
1960;Siding;Composition Shingles;1;Electricity;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Medium;ИСТИНА;5;41;1230;1230;3993
1978;Siding;Composition Shingles;2;Electricity;Heat Pump;5-9 Years old;6;Electricity;Large;ИСТИНА;6;30;1692;1692;10822
1970;Wood;Asphalt;3;Electricity;;Not Applicable;-2;Electricity;Small;ИСТИНА;-1;41;0;978;9199
1985;Siding;Composition Shingles;3;Electricity;Steam or Hot Water System;<2 Years old;6;Natural Gas;Large;ИСТИНА;6;41;2850;1424;9210
1920;Brick;Slate;4;Electricity;Steam or Hot Water System;<2 Years old;8;Electricity;Medium;ИСТИНА;-1;42;2176;1360;11864
1965;Brick;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;2-4 Years old;7;Electricity;Small;ИСТИНА;7;41;1778;1778;12926
1970;Brick;Composition Shingles;2;Electricity;Central Warm-Air Furnace;15-19 Years old;4;Natural Gas;Small;ИСТИНА;-1;41;634;317;7090
1942;Concrete;Wood Shingles;3;Natural Gas;Fireplace;2-4 Years old;3;Natural Gas;Medium;ИСТИНА;-1;41;458;305;6450
1987;Wood;Composition Shingles;2;Electricity;Heat Pump;2-4 Years old;6;Electricity;Medium;ИСТИНА;6;30;3007;3007;13181
1920;Stucco;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;10-14 Years old;8;Natural Gas;Large;ЛОЖЬ;-1;60;1840;0;8246
1992;Concrete;Ceramic or Clay Tiles;5;Electricity;Heat Pump;10-14 Years old;7;Electricity;Medium;ИСТИНА;7;41;1974;1974;23848
1920;Siding;Composition Shingles;-2;Electricity;Built-In Electric Units;>20 Years old;1;Electricity;Medium;ИСТИНА;-1;20;784;784;9060
1968;Concrete;Wood Shingles;4;Electricity;;Not Applicable;-2;Electricity;Large;ИСТИНА;-1;42;0;782;9708
1920;Brick;Asphalt;3;Natural Gas;Central Warm-Air Furnace;<2 Years old;5;Natural Gas;Medium;ИСТИНА;5;20;1372;1372;4130
1993;Stucco;Ceramic or Clay Tiles;4;Natural Gas;Central Warm-Air Furnace;15-19 Years old;6;Natural Gas;Large;ИСТИНА;6;41;2051;2051;10758
1920;Siding;Composition Shingles;3;Natural Gas;Steam or Hot Water System;>20 Years old;6;Fuel Oil;Medium;ИСТИНА;-1;41;1047;349;8937
1930;Composition;Composition Shingles;2;Natural Gas;Central Warm-Air Furnace;10-14 Years old;4;Natural Gas;Medium;ИСТИНА;-1;30;826;206;4447
2006;Brick;Asphalt;5;Electricity;Central Warm-Air Furnace;2-4 Years old;8;Natural Gas;Large;ИСТИНА;8;41;4400;4400;13666
2004;Concrete;Asphalt;3;Electricity;Central Warm-Air Furnace;5-9 Years old;6;Electricity;Medium;ИСТИНА;6;30;1922;1922;19427
1991;Brick;Composition Shingles;5;Natural Gas;Central Warm-Air Furnace;5-9 Years old;13;Natural Gas;Medium;ИСТИНА;6;60;7238;4425;10998
1961;Wood;Composition Shingles;2;Natural Gas;Built-In Room Heater;2-4 Years old;3;Electricity;Large;ИСТИНА;-1;60;583;194;7822
1966;Concrete;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;7;Electricity;Medium;ИСТИНА;7;41;1848;1848;19697
1920;Wood;Asphalt;4;Natural Gas;Central Warm-Air Furnace;>20 Years old;9;Natural Gas;Large;ИСТИНА;-1;42;2368;526;7847
1977;Siding;Metal;3;Electricity;Central Warm-Air Furnace;>20 Years old;6;Electricity;Medium;ЛОЖЬ;-1;41;924;0;8720
1975;Brick;;2;Electricity;Central Warm-Air Furnace;>20 Years old;6;Natural Gas;Medium;ИСТИНА;6;30;1753;1753;4922
1980;Wood;Ceramic or Clay Tiles;2;Electricity;Central Warm-Air Furnace;>20 Years old;4;Electricity;Medium;ЛОЖЬ;-1;41;1096;0;14121
1986;Siding;Composition Shingles;2;Natural Gas;Central Warm-Air Furnace;>20 Years old;4;Natural Gas;Small;ИСТИНА;4;41;1684;1284;8957
2004;Stucco;Ceramic or Clay Tiles;4;-;Central Warm-Air Furnace;5-9 Years old;9;Natural Gas;Large;ЛОЖЬ;-1;42;4460;0;6150
1971;Siding;Composition Shingles;2;Electricity;Central Warm-Air Furnace;<2 Years old;3;Natural Gas;Small;ИСТИНА;3;30;702;702;4284
1970;Wood;Wood Shingles;-2;Electricity;Central Warm-Air Furnace;10-14 Years old;1;Electricity;Large;ИСТИНА;1;20;497;497;9007
1920;Stucco;;1;Natural Gas;;>20 Years old;-2;Natural Gas;Medium;ЛОЖЬ;-1;30;0;0;1181
1980;Brick;Composition Shingles;2;Electricity;Central Warm-Air Furnace;>20 Years old;4;Natural Gas;Small;ЛОЖЬ;-1;20;634;0;2309
1950;Brick;;-2;-;;>20 Years old;-2;Natural Gas;Large;ЛОЖЬ;-1;20;0;0;2057
1957;Siding;Composition Shingles;4;Natural Gas;Central Warm-Air Furnace;5-9 Years old;9;Natural Gas;Small;ИСТИНА;5;42;1855;824;11628
1970;Siding;Metal;2;Natural Gas;Central Warm-Air Furnace;>20 Years old;4;Natural Gas;Small;ИСТИНА;-1;50;840;210;8544
2002;Siding;Composition Shingles;4;Natural Gas;Central Warm-Air Furnace;5-9 Years old;9;Electricity;None;ИСТИНА;9;50;2656;2656;19712
1982;Brick;Asphalt;3;Electricity;Central Warm-Air Furnace;5-9 Years old;3;Electricity;Large;ИСТИНА;2;41;1045;697;9285
1978;Composition;Composition Shingles;4;Electricity;Steam or Hot Water System;>20 Years old;9;Fuel Oil;None;ИСТИНА;9;41;2824;2824;6705
1957;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;10-14 Years old;7;Natural Gas;Medium;ИСТИНА;7;41;1280;1280;12016
1996;Siding;Metal;3;Electricity;Central Warm-Air Furnace;10-14 Years old;6;Electricity;Small;ИСТИНА;6;30;1280;1280;37083
1993;Brick;Composition Shingles;1;Natural Gas;Floor or Wall Pipeless Furnace;15-19 Years old;2;Electricity;Medium;ИСТИНА;-1;10;968;484;4475
1920;Siding;Composition Shingles;4;Electricity;Central Warm-Air Furnace;10-14 Years old;10;Natural Gas;Medium;ИСТИНА;10;50;2866;2866;14562
2002;Siding;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;Medium;ИСТИНА;4;41;1680;1120;27600
1965;Brick;Asphalt;3;Electricity;Heat Pump;5-9 Years old;7;Electricity;Large;ИСТИНА;7;50;1925;1925;16254
1968;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Medium;ИСТИНА;5;41;2920;2920;7265
1972;Siding;Asphalt;2;Electricity;Central Warm-Air Furnace;>20 Years old;4;Natural Gas;Large;ИСТИНА;4;41;1264;1264;2943
1956;Stone;Asphalt;3;Natural Gas;Steam or Hot Water System;>20 Years old;6;Natural Gas;Medium;ИСТИНА;-1;30;1040;173;3138
1948;Stucco;Composition Shingles;1;Natural Gas;Portable Electric Heaters;2-4 Years old;1;Natural Gas;Medium;ЛОЖЬ;-1;30;388;0;3608
1980;Stucco;Ceramic or Clay Tiles;2;Natural Gas;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Large;ИСТИНА;5;41;893;893;3671
1972;Brick;Metal;5;Natural Gas;Central Warm-Air Furnace;>20 Years old;8;Natural Gas;Large;ИСТИНА;8;41;1738;1738;9243
1944;Stucco;Composition Shingles;2;Natural Gas;Portable Electric Heaters;2-4 Years old;2;Natural Gas;Medium;ИСТИНА;-1;30;530;265;4798
1995;Stone;Composition Shingles;3;-;Built-In Electric Units;15-19 Years old;4;Electricity;Medium;ИСТИНА;-1;60;920;230;21322
2001;Siding;Composition Shingles;5;Electricity;Central Warm-Air Furnace;5-9 Years old;12;Electricity;Large;ИСТИНА;12;41;3656;3656;20967
1950;Brick;;1;Electricity;Steam or Hot Water System;>20 Years old;3;Fuel Oil;Large;ИСТИНА;-1;50;664;221;3214
1953;Stucco;Composition Shingles;1;Natural Gas;Built-In Room Heater;>20 Years old;3;Natural Gas;Large;ИСТИНА;-1;20;592;395;3693
1979;Stucco;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;10-14 Years old;6;Natural Gas;Medium;ИСТИНА;6;41;2550;1275;7366
2000;Siding;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;Medium;ИСТИНА;6;42;1392;1392;18609
1972;Brick;Metal;2;Natural Gas;Built-In Room Heater;>20 Years old;4;Natural Gas;Medium;ИСТИНА;-1;30;432;216;3552
1988;Brick;Metal;3;Electricity;Central Warm-Air Furnace;5-9 Years old;7;Electricity;Medium;ИСТИНА;7;30;1151;1151;12810
2001;Siding;Asphalt;7;Propane/LPG;Central Warm-Air Furnace;5-9 Years old;10;Propane/LPG;Medium;ИСТИНА;10;41;2400;2400;10487
1920;Brick;;1;Other Fuel;Steam or Hot Water System;15-19 Years old;3;Natural Gas;Large;ИСТИНА;-1;30;845;564;2212
1998;Siding;Asphalt;1;Electricity;Built-In Electric Units;10-14 Years old;5;Natural Gas;Large;ИСТИНА;-1;10;1247;249;5269
1977;Brick;;1;Electricity;Central Warm-Air Furnace;>20 Years old;3;Electricity;Large;ИСТИНА;3;20;625;625;11344
1920;Siding;Composition Shingles;4;Natural Gas;Portable Electric Heaters;<2 Years old;4;Electricity;Large;ИСТИНА;-1;41;557;406;11650
2001;Siding;Composition Shingles;6;Electricity;Central Warm-Air Furnace;5-9 Years old;9;Natural Gas;Medium;ИСТИНА;9;50;3272;3272;16675
1978;Brick;Composition Shingles;3;Electricity;Heat Pump;10-14 Years old;8;Electricity;Medium;ИСТИНА;8;41;2925;2925;12748
1988;Wood;Composition Shingles;4;Electricity;Central Warm-Air Furnace;5-9 Years old;9;Electricity;Medium;ИСТИНА;9;50;2246;2246;1891
1965;Brick;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;10-14 Years old;6;Natural Gas;Medium;ИСТИНА;6;41;1650;1650;14590
1988;Siding;;2;Electricity;Steam or Hot Water System;>20 Years old;4;Natural Gas;Small;ИСТИНА;-1;41;881;220;3475
1990;Wood;;2;Electricity;Built-In Electric Units;15-19 Years old;6;Electricity;Medium;ЛОЖЬ;-1;42;1137;0;10280
2007;Wood;Metal;1;Electricity;Other Equipment;5-9 Years old;2;Electricity;Small;ИСТИНА;-1;20;443;221;5193
1988;Siding;Composition Shingles;3;Electricity;Steam or Hot Water System;>20 Years old;7;Natural Gas;Large;ЛОЖЬ;-1;41;2300;0;8493
1929;Stucco;Asphalt;3;Electricity;Central Warm-Air Furnace;10-14 Years old;7;Natural Gas;Medium;ИСТИНА;7;60;2126;2126;5988
1980;Wood;;-2;Electricity;Built-In Electric Units;>20 Years old;1;Electricity;Large;ЛОЖЬ;-1;20;544;0;2240
1985;Siding;Composition Shingles;2;Electricity;Central Warm-Air Furnace;>20 Years old;4;Natural Gas;Medium;ИСТИНА;4;41;815;815;4428
1972;Stucco;Composition Shingles;4;Natural Gas;Central Warm-Air Furnace;10-14 Years old;8;Natural Gas;Medium;ИСТИНА;8;41;2620;2620;9240
1930;Wood;Asphalt;2;Electricity;Central Warm-Air Furnace;>20 Years old;4;Natural Gas;Medium;ИСТИНА;4;41;2176;1088;8298
2000;Brick;;-2;Electricity;Built-In Electric Units;5-9 Years old;1;Electricity;Large;ИСТИНА;1;20;576;576;3325
1972;Brick;Wood Shingles;3;Electricity;Heat Pump;15-19 Years old;5;Electricity;Medium;ИСТИНА;5;30;891;891;16909
1980;Composition;Composition Shingles;2;Electricity;Central Warm-Air Furnace;15-19 Years old;5;Electricity;Small;ИСТИНА;5;20;1382;1382;23220
1996;Brick;;2;Electricity;Central Warm-Air Furnace;5-9 Years old;4;Electricity;Medium;ИСТИНА;4;20;1024;1024;9333
2002;Siding;Composition Shingles;2;Electricity;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;None;ЛОЖЬ;-1;30;1064;0;8323
1946;Siding;Composition Shingles;3;Electricity;Heat Pump;10-14 Years old;7;Electricity;Medium;ИСТИНА;7;41;1681;1681;18263
1980;Brick;;1;Electricity;Steam or Hot Water System;10-14 Years old;2;Natural Gas;Large;ИСТИНА;-1;10;505;253;2895
1964;Wood;Composition Shingles;4;-;Central Warm-Air Furnace;5-9 Years old;9;Natural Gas;Large;ЛОЖЬ;-1;30;2331;0;13725
2002;Siding;Composition Shingles;4;Electricity;Central Warm-Air Furnace;5-9 Years old;10;Natural Gas;Medium;ИСТИНА;10;42;4765;4765;13897
1950;Siding;Wood Shingles;2;Electricity;Central Warm-Air Furnace;>20 Years old;5;Electricity;Large;ИСТИНА;-1;41;2126;1276;10617
1972;Wood;Composition Shingles;3;Natural Gas;Built-In Room Heater;2-4 Years old;5;Natural Gas;None;ЛОЖЬ;-1;30;1184;0;11563
1992;Siding;Composition Shingles;1;Electricity;Steam or Hot Water System;<2 Years old;4;Natural Gas;Large;ИСТИНА;4;20;490;490;3448
1959;Siding;Asphalt;2;Electricity;Central Warm-Air Furnace;10-14 Years old;4;Natural Gas;Medium;ИСТИНА;4;42;2480;2480;4976
1958;Stucco;Composition Shingles;2;-;;Not Applicable;-2;Propane/LPG;Medium;ЛОЖЬ;-1;20;0;0;3519
1990;Siding;Metal;3;Electricity;Heat Pump;5-9 Years old;6;Electricity;Small;ИСТИНА;6;30;1176;1176;20770
1920;Siding;Metal;3;Propane/LPG;Heating Stove;>20 Years old;4;Propane/LPG;Medium;ИСТИНА;-1;30;821;410;4059
1995;Siding;Composition Shingles;5;Natural Gas;Central Warm-Air Furnace;15-19 Years old;8;Natural Gas;Large;ИСТИНА;8;41;3433;3433;10627
1940;Brick;;1;Natural Gas;Steam or Hot Water System;>20 Years old;3;Fuel Oil;Large;ИСТИНА;-1;41;785;262;2011
1994;Wood;Composition Shingles;3;Electricity;Central Warm-Air Furnace;15-19 Years old;6;Natural Gas;Medium;ИСТИНА;6;30;2412;2412;7889
1979;Wood;Metal;2;Natural Gas;Central Warm-Air Furnace;2-4 Years old;4;Natural Gas;Medium;ИСТИНА;3;30;660;495;14232
1920;Other;Slate;4;Electricity;Steam or Hot Water System;5-9 Years old;8;Fuel Oil;Medium;ЛОЖЬ;-1;50;2668;0;2777
1977;Wood;Wood Shingles;4;Electricity;Central Warm-Air Furnace;15-19 Years old;8;Electricity;Medium;ИСТИНА;4;42;3534;2555;33223
2005;Siding;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;Small;ИСТИНА;6;41;2096;2096;10053
1966;Siding;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;<2 Years old;5;Natural Gas;Medium;ИСТИНА;5;30;1862;1862;11123
1930;Siding;Composition Shingles;2;Electricity;Central Warm-Air Furnace;10-14 Years old;4;Natural Gas;Large;ИСТИНА;-1;30;691;691;4291
1997;Wood;Asphalt;3;Electricity;Steam or Hot Water System;10-14 Years old;6;Fuel Oil;None;ЛОЖЬ;-1;42;1872;0;3769
1985;Wood;;2;Natural Gas;Central Warm-Air Furnace;5-9 Years old;4;Natural Gas;Medium;ИСТИНА;4;20;818;818;8989
1995;Stucco;Concrete Tiles;3;Electricity;Heat Pump;15-19 Years old;6;Electricity;Large;ИСТИНА;6;41;2888;2888;18245
1934;Brick;Asphalt;2;Electricity;Central Warm-Air Furnace;5-9 Years old;4;Electricity;Large;ЛОЖЬ;-1;30;986;0;14608
1977;Brick;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Small;ИСТИНА;5;30;1420;1420;4478
1990;Siding;Asphalt;4;Electricity;Central Warm-Air Furnace;<2 Years old;8;Electricity;Large;ИСТИНА;6;60;4044;3033;17093
